date,home,region,city
2012-12-04,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-05,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-06,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-07,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-08,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-09,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-10,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-11,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-12,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-13,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-14,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-15,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-16,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-17,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-18,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-19,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-20,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-21,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-22,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-23,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-24,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-25,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-26,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-27,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-28,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-29,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-30,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-31,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-01,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-02,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-03,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-04,"Skopje, MK",Germany,"Garmisch-Partenkirchen, Germany"
2013-01-05,"Skopje, MK",Germany,"Garmisch-Partenkirchen, Germany"
2013-01-06,"Skopje, MK",Austria,"Ehrwald, Austria"
2013-01-07,"Skopje, MK",Germany,"Garmisch-Partenkirchen, Germany"
2013-01-08,"Skopje, MK",Germany,"Garmisch-Partenkirchen, Germany"
2013-01-09,"Skopje, MK",Germany,"Garmisch-Partenkirchen, Germany"
2013-01-10,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-11,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-12,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-13,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-14,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-15,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-16,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-17,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-18,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-19,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-20,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-21,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-22,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-23,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-24,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-25,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-26,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-27,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-28,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-29,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-30,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-01-31,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-01,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-02,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
